#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 14:19:38       0    300     85      -     90     44      0      0      0      0  13365   1920  76996      8      0 
 14:19:40       0    299     85      -     94     35      0      0      0      0  13365   2040  76996      8      0 
 14:19:42       0    300     85      -     94     35      0      0      0      0  13365   2025  76996      8      0 
 14:19:44       0    300     85      -     91     47      0      0      0      0  13365   1987  76996      8      0 
 14:19:46       0    300     86      -     93     36      0      0      0      0  13365   2055  76996      8      0 
 14:19:48       0    300     86      -     93     35      0      0      0      0  13365   2055  76996      8      0 
 14:19:50       0    300     85      -     94     36      0      0      0      0  13365   2040  76996      8      0 
 14:19:52       0    269     86      -     93     36      0      0      0      0  13365   2032  76996      8      0 
 14:19:54       0    303     85      -     94     35      0      0      0      0  13365   2047  76996      8      0 
 14:19:56       0    300     86      -     93     36      0      0      0      0  13365   2062  76996      8      0 
 14:19:58       0    300     85      -     93     36      0      0      0      0  13365   2055  76996      8      0 
 14:20:00       0    300     85      -     94     35      0      0      0      0  13365   2055  76996      8      0 
 14:20:02       0    299     86      -     87     46      0      0      0      0  13365   1942  76996      8      0 
 14:20:04       0    299     85      -     83     32      0      0      0      0  13365   1950  76996      8      0 
 14:20:06       0    299     85      -     91     39      0      0      0      0  13365   2032  76996      8      0 
 14:20:08       0    300     85      -     82     34      0      0      0      0  13365   1972  76996      8      0 
 14:20:10       0    299     85      -     82     34      0      0      0      0  13365   1965  76996      8      0 
 14:20:12       0    299     85      -     95     43      0      0      0      0  13365   2032  76996      8      0 
 14:20:14       0    299     85      -     94     39      0      0      0      0  13365   2032  76996      8      0 
 14:20:16       0    300     85      -     94     35      0      0      0      0  13365   2025  76996      8      0 
 14:20:18       0    300     85      -     91     47      0      0      0      0  13365   1972  76996      8      0 
 14:20:20       0    300     86      -     93     35      0      0      0      0  13365   2077  76996      8      0 
 14:20:22       0    269     82      -     91     47      0      0      0      0  13365   2062  76996      8      0 
 14:20:24       0    299     85      -     91     47      0      0      0      0  13365   1972  76996      8      0 
 14:20:26       0    300     85      -     91     35      0      0      0      0  13365   1950  76996      8      0 
 14:20:28       0    299     85      -     74     29      0      0      0      0  13365   1965  76996      8      0 
 14:20:30       0    300     85      -     82     34      0      0      0      0  13365   1980  76996      8      0 
 14:20:32       0    299     85      -     78     34      0      0      0      0  13365   1972  76996      8      0 
 14:20:34       0    299     85      -     91     40      0      0      0      0  13365   1980  76996      8      0 
 14:20:36       0    299     85      -     94     36      0      0      0      0  13365   2032  76996      8      0 
 14:20:38       0    268     85      -      0      0      0      0      0      0  13365   2130  76996      8      0 
 14:20:40       0    299     85      -     94     36      0      0      0      0  13365   2032  76996      8      0 
 14:20:42       0    299     85      -     93     35      0      0      0      0  13365   2040  76996      8      0 
 14:20:44       0    299     85      -     94     36      0      0      0      0  13365   2025  76996      8      0 
 14:20:46       0    302     85      -     91     47      0      0      0      0  13365   2002  76996      8      0 
 14:20:48       0    300     85      -     94     36      0      0      0      0  13365   2055  76996      8      0 
 14:20:50       0    300     85      -     94     36      0      0      0      0  13365   2017  76996      8      0 
 14:20:52       0    299     85      -     94     44      0      0      0      0  13365   2040  76996      8      0 
 14:20:54       0    300     85      -     94     35      0      0      0      0  13365   1965  76996      8      0 
 14:20:56       0    299     85      -     93     36      0      0      0      0  13365   1987  76996      8      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 14:20:58       0    299     85      -     93     35      0      0      0      0  13365   2017  76996      8      0 
 14:21:00       0    299     85      -     93     36      0      0      0      0  13365   2010  76996      8      0 
 14:21:02       0    299     85      -     94     35      0      0      0      0  13365   2025  76996      8      0 
 14:21:04       0    299     85      -     93     36      0      0      0      0  13365   2040  76996      8      0 
 14:21:06       0    299     85      -     72     33      0      0      0      0  13365   2032  76996      8      0 
 14:21:08       0    290     83      -     28     12      0      0      0      0  13365   2047  76996      8      0 
 14:21:10       0    301     86      -     91     40      0      0      0      0  13365   2040  76996      8      0 
 14:21:12       0    302     85      -     92     39      0      0      0      0  13365   2047  76996      8      0 
 14:21:14       0    299     85      -     91     39      0      0      0      0  13365   2070  76996      8      0 
 14:21:16       0    299     85      -     94     35      0      0      0      0  13365   1980  76996      8      0 
 14:21:18       0    299     85      -     94     35      0      0      0      0  13365   2002  76996      8      0 
 14:21:20       0    299     85      -     93     36      0      0      0      0  13365   2055  76996      8      0 
 14:21:22       0    300     85      -     93     36      0      0      0      0  13365   2055  76996      8      0 
 14:21:24       0    270     84      -     91     48      0      0      0      0  13365   2017  76996      8      0 
 14:21:26       0    299     85      -     82     40      0      0      0      0  13365   1942  76996      8      0 
 14:21:28       0    300     85      -     82     35      0      0      0      0  13365   1980  76996      8      0 
 14:21:30       0    298     85      -     93     51      0      0      0      0  13365   1957  76996      8      0 
 14:21:32       0    298     86      -     93     35      0      0      0      0  13365   2025  76996      8      0 
 14:21:34       0    300     86      -     93     35      0      0      0      0  13365   2040  76996      8      0 
 14:21:36       0    300     85      -     91     47      0      0      0      0  13365   2040  76996      8      0 
 14:21:38       0    299     85      -     94     35      0      0      0      0  13365   2025  76996      8      0 
 14:21:40       0    300     85      -     93     36      0      0      0      0  13365   2077  76996      8      0 
 14:21:42       0    299     85      -     91     47      0      0      0      0  13365   1957  76996      8      0 
 14:21:44       0    299     85      -     93     36      0      0      0      0  13365   1972  76996      8      0 
 14:21:46       0    299     85      -     93     36      0      0      0      0  13365   1950  76996      8      0 
 14:21:48       0    299     85      -     92     38      0      0      0      0  13365   2025  76996      8      0 
 14:21:50       0    299     85      -     93     45      0      0      0      0  13365   2032  76996      8      0 
 14:21:52       0    300     85      -     94     44      0      0      0      0  13365   2077  76996      8      0 
 14:21:54       0    270     85      -     75     36      0      0      0      0  13365   2047  76996      8      0 
 14:21:56       0    300     86      -     94     35      0      0      0      0  13365   2032  76996      8      0 
 14:21:58       0    301     86      -     93     36      0      0      0      0  13365   2047  76996      8      0 
 14:22:00       0    302     85      -     94     35      0      0      0      0  13365   2047  76996      8      0 
 14:22:02       0    299     85      -     94     35      0      0      0      0  13365   1980  76996      8      0 
 14:22:04       0    299     85      -     93     36      0      0      0      0  13365   1965  76996      8      0 
 14:22:06       0    299     85      -     93     36      0      0      0      0  13365   1965  76996      8      0 
 14:22:08       0    300     85      -     94     35      0      0      0      0  13365   1957  76996      8      0 
 14:22:10       0    289     85      -     93     35      0      0      0      0  13365   2055  76996      8      0 
 14:22:12       0    299     85      -     93     36      0      0      0      0  13365   2040  76996      8      0 
 14:22:14       0    299     85      -     93     36      0      0      0      0  13365   2047  76996      8      0 
 14:22:16       0    299     85      -     94     36      0      0      0      0  13365   2040  76996      8      0 
 14:22:18       0    299     85      -     93     36      0      0      0      0  13365   2032  76996      8      0 
 14:22:20       0    299     85      -     93     37      0      0      0      0  13365   1980  76996      8      0 
 14:22:22       0    300     85      -     94     35      0      0      0      0  13365   1927  76996      8      0 
 14:22:24       0    299     86      -     92     38      0      0      0      0  13365   2017  76996      8      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 14:22:26       0    301     85      -     92     38      0      0      0      0  13365   2017  76996      8      0 
 14:22:28       0    299     85      -     93     35      0      0      0      0  13365   2032  76996      8      0 
